category,supplier_sku,description,size,colour,length_mm,tier2_price_ex_gst,rrp,carton_qty
C POST,FNPPB21,Colorbond® CPost 2100 PAPERBARK,2100,PAPERBARK,2100,8.27,,
C POST,FNPPB24,Colorbond® CPost 2400 PAPERBARK,2400,PAPERBARK,2400,8.56,,144
C POST,FNPPB27,Colorbond® CPost 2700 PAPERBARK,2700,PAPERBARK,2700,9.63,,144
C POST,FNPPB30,Colorbond® CPost 3000 PAPERBARK,3000,PAPERBARK,3000,11.8,,
C POST,FNPRS18,Colorbond® CPost 1800 RIVERSAND,1800,RIVERSAND,1800,7.06,,
C POST,FNPRS21,Colorbond® CPost 2100 RIVERSAND,2100,RIVERSAND,2100,8.27,,
C POST,FNPRS24,Colorbond® CPost 2400 RIVERSAND,2400,RIVERSAND,2400,8.56,,48
C POST,FNPRS27,Colorbond® CPost 2700 RIVERSAND,2700,RIVERSAND,2700,9.63,,48
C POST,FNPSG18,Colorbond® CPost 1800 SHALE GREY,1800,SHALE GREY,1800,7.06,,
C POST,FNPSG21,Colorbond® CPost 2100 SHALE GREY,2100,SHALE GREY,2100,8.27,,
C POST,FNPSG24,Colorbond® CPost 2400 SHALE GREY,2400,SHALE GREY,2400,8.56,,96
C POST,FNPSG27,Colorbond® CPost 2700 SHALE GREY,2700,SHALE GREY,2700,9.67,,96
C POST,FNPSG30,Colorbond® CPost 3000 SHALE GREY,3000,SHALE GREY,3000,11.77,,
C POST,,Colorbond® **CUSTOM** CPost 1500 SURFMIST,1500,SURFMIST,1500,7.06,,
C POST,FNPSM18,Colorbond® CPost 1800 SURFMIST,1800,SURFMIST,1800,7.09,,
C POST,FNPSM21,Colorbond® CPost 2100 SURFMIST,2100,SURFMIST,2100,8.27,,
C POST,FNPSM24,Colorbond® CPost 2400 SURFMIST,2400,SURFMIST,2400,8.56,,144
C POST,FNPSM27,Colorbond® CPost 2700 SURFMIST,2700,SURFMIST,2700,9.63,,144
C POST,FNPSM30,Colorbond® CPost 3000 SURFMIST,3000,SURFMIST,3000,11.8,,
C POST,FNPWI18,Colorbond® CPost 1800 WILDERNESS,1800,WILDERNESS,1800,7.09,,
C POST,FNPWI21,Colorbond® CPost 2100 WILDERNESS,2100,WILDERNESS,2100,8.27,,
C POST,FNPWI24,Colorbond® CPost 2400 WILDERNESS,2400,WILDERNESS,2400,8.56,,48
C POST,FNPWI27,Colorbond® CPost 2700 WILDERNESS,2700,WILDERNESS,2700,10.62,,48
C POST,FNPWS21,Colorbond® CPost 2100 WINDSPRAY,2100,WINDSPRAY,2100,8.27,,
C POST,FNPWS24,Colorbond® CPost 2400 WINDSPRAY,2400,WINDSPRAY,2400,8.56,,48
C POST,FNPWS27,Colorbond® CPost 2700 WINDSPRAY,2700,WINDSPRAY,2700,10.62,,0
C POST,FNPWS30,Colorbond® CPost 3000 WINDSPRAY,3000,WINDSPRAY,,11.8,,
C POST,FNPWS33,Colorbond® CPost 3300 WINDSPRAY,3300,WINDSPRAY,,11.8,,
