system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
timber,Treated Pine,Bagged Concrete,Bagged Concrete,Post Mix Concrete 30kg,ratified,DMPM3056LD,Post Mix 30KG,30 KG,,,9.8,10.78,56
timber,Treated Pine,Bagged Concrete,Bagged Concrete,General Purpose Cement 20kg,ratified,CG2CD,General Purpose Cement 20kg,20 KG,,,6.68,7.35,
timber,Hardwood,Sleeper,Sleeper,200x50 Hardwood Sleeper 2400mm,ratified,HS200x50x2400,H4 Treated Hardwood Sleeper 200 x 50 x 2400mm,2400,,2400,24.98,27.48,48
timber,Treated Pine,Nails,Nails,2.5x32mm Hardened Gal Coil Nail,ratified,CNHD32,Hardened Coil Nail 15 Deg - 2.5 x 32mm (6000),2.5 x 32,,,50.0,55.0,
timber,Treated Pine,Screw,Screw,14g x 100mm Galvanised Batten Screw,ratified,BBEG141005,Batten Screws 14g x 100mm Galvanised(500),100,,,12.13,13.34,500
timber,Hardwood,Sleeper,Sleeper,200x50 Hardwood Sleeper 3000mm,ratified,HS200x50x3000,H4 Treated Hardwood Sleeper 200 x 50 x 3000mm,3000,,3000,31.4,34.54,48
timber,Hardwood,Sleeper,Sleeper,200x75 Hardwood Sleeper 2400mm,ratified,HS200x75x2400,H4 Treated Hardwood Sleeper 200 x 75 x 2400mm,2400,,2400,37.49,41.24,32
timber,Hardwood,Sleeper,Sleeper,200x75 Hardwood Sleeper 3000mm,ratified,HS200x75x3000,H4 Treated Hardwood Sleeper 200 x 75 x 3000mm,3000,,3000,48.61,53.47,32
timber,Treated Pine,Nails,Nails,2.5x45mm Ring Shank Gal Coil Nail,ratified,CN2545RMGSINCOIL,Coil Nails 15Deg - 2.5 x 45mm Ring M Gal (250) - Single Coil,45,,,2.47,2.72,250
timber,Treated Pine,Nails,Nails,2.5x32mm Hardened Gal Coil Nail,ratified,CNHD32Single,Hardened Coil Nail 15 Deg - 2.5 x 32mm (200) - Single Coil,2.5 x 32,,,1.66,1.83,
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paddle Pop Paling 1200mm,ratified,100x1200x16Paddle,CCA Treated Pine *Paddle Pop* Paling 100 x 16 x 1200mm,1200,,1200,1.7,1.87,
timber,Treated Pine,Post,Post,100x100 Treated Pine Post 2400mm,ratified,PP100x100x2400,CCA Treated Pine Post 100 x 100 x 2400mm,2400,,2400,20.3,22.33,55
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 3000mm,ratified,PL100x16x3000,CCA Treated Pine Paling 100 x 16 x 3000mm - Custom Order - Pack of 330 ONLY,3000,,3000,3.15,3.47,330
timber,Treated Pine,Rail,Rail,100x38 Treated Pine Arrissed Rail 4800mm,ratified,F100038H3AR4800,CCA Treated Pine Rail Arrissed 100 x 38 x 4800mm,4800,,4800,12.38,13.62,60
timber,Hardwood,Sleeper,Sleeper,200x75 Hardwood Sleeper 1800mm,ratified,HS200x75x1800,H4 Treated Hardwood Sleeper 200 x 75 x 1800mm,1800,,1800,30.0,33.0,
timber,Treated Pine,Nails,Nails,2.5x57mm Ring Shank Gal Coil Nail,ratified,CN2557RMGSINCOIL,Coil Nails 15Deg - 2.5 x 57mm Ring M Gal (250) - Single Coil,57,,,3.8,4.18,
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paddle Pop Paling 1500mm,ratified,100x1500x16Paddle,CCA Treated Pine *Paddle Pop* Paling 100 x 16 x 1500mm,1500,,,1.7,1.87,
timber,Treated Pine,Post,Post,100x100 Treated Pine Post 3000mm,ratified,,CCA Treated Pine Post 100 x 100 x 3000mm,,,,32.1,35.31,
timber,Treated Pine,Nails,Nails,Stainless Steel Coil Nail,ratified,YF452563F,Coil Nails 45mm Stainless Steel (Box 1800),,,45,148.0,162.8,1800
colorbond,Metroll,Double gate,Gate Style,Colorbond Double Gate Monument,ratified,,CB D/Gate Kit 1800h x 3325w MONUMENT,,Monument,,269.48,296.43,
colorbond,Metroll,Single gate,Gate Style,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1800h x 1670w MONUMENT,,Monument,1800,167.1,183.81,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1800h x 910w MONUMENT,,Monument,1800,142.35,156.59,
colorbond,Metroll,Single gate,Gate Style,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1500h x 1670w MONUMENT,,Monument,1800,157.56,173.32,
colorbond,Metroll,Double gate,Gate Style,Colorbond Double Gate Riversand,ratified,,CB D/Gate Kit 1800h x 3325w RIVERSAND,,Riversand,1800,289.11,318.02,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1800h x 910w BASALT,,Basalt,1800,140.73,154.8,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1500h x 910w BASALT,,Basalt,1500,132.52,145.77,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1200h x 910w BASALT,,Basalt,1200,136.44,150.08,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1200h x 1670w BASALT,,Basalt,1200,156.89,172.58,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Basalt,ratified,,CB D/Gate Kit 1200h x 3325w BASALT,,Basalt,1200,250.51,275.56,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Basalt,ratified,,CB D/Gate Kit 1500h x 3325w BASALT,,Basalt,1500,248.83,273.71,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1800h x 1670w BASALT,,Basalt,1800,165.47,182.02,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Basalt,ratified,,CB D/Gate Kit 1800h x 3325w BASALT,,Basalt,1800,267.67,294.44,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 2100h x 910w BASALT,,Basalt,2100,159.67,175.64,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 2100h x 1670w BASALT,,Basalt,2100,187.51,206.26,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Basalt,ratified,,CB D/Gate Kit 2100h x 3325w BASALT,,Basalt,2100,298.91,328.8,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1200h x 910w MONUMENT,,Monument,1200,138.08,151.89,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1200h x 1670w MONUMENT,,Monument,1200,158.56,174.42,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Monument,ratified,,CB D/Gate Kit 1200h x 3325w MONUMENT,,Monument,1200,252.4,277.64,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1500h x 910w MONUMENT,,Monument,1500,134.08,147.49,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Monument,ratified,,CB D/Gate Kit 1500h x 3325w MONUMENT,,Monument,1500,250.4,275.44,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 2100h x 910w MONUMENT,,Monument,2100,161.27,177.4,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 2100h x 1670w MONUMENT,,Monument,2100,189.08,207.99,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Monument,ratified,,CB D/Gate Kit 2100h x 3325w MONUMENT,,Monument,2100,300.58,330.64,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1500h x 1670w BASALT,,Basalt,1500,156.05,171.66,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 1200h x 910w SURFMIST,,Surfmist,1200,141.03,155.13,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 1200h x 1670w SURFMIST,,Surfmist,1200,161.5,177.65,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Surfmist,ratified,,CB D/Gate Kit 1200h x 3325w SURFMIST,,Surfmist,1200,255.54,281.09,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 1500h x 910w SURFMIST,,Surfmist,1500,137.03,150.73,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 1500h x 1670w SURFMIST,,Surfmist,1500,160.5,176.55,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Surfmist,ratified,,CB D/Gate Kit 1500h x 3325w SURFMIST,,Surfmist,1500,253.54,278.89,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 1800h x 910w SURFMIST,,Surfmist,1800,145.3,159.83,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 1800h x 1670w SURFMIST,,Surfmist,1800,170.04,187.04,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Surfmist,ratified,,CB D/Gate Kit 1800h x 3325w SURFMIST,,Surfmist,1800,272.62,299.88,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 2100h x 910w SURFMIST,,Surfmist,2100,164.24,180.66,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Surfmist,ratified,,CB S/Gate Kit 2100h x 1670w SURFMIST,,Surfmist,2100,192.08,211.29,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Surfmist,ratified,,CB D/Gate Kit 2100h x 3325w SURFMIST,,Surfmist,2100,303.86,334.25,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 1200h x 910w WOODLAND GREY,,Woodland Grey,1200,137.63,151.39,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 1200h x 1670w WOODLAND GREY,,Woodland Grey,1200,158.1,173.91,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Woodland Grey,ratified,,CB D/Gate Kit 1200h x 3325w WOODLAND GREY,,Woodland Grey,1200,252.14,277.35,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 1500h x 910w WOODLAND GREY,,Woodland Grey,1500,133.63,146.99,
