system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 1800h x 1670w EVENING HAZE,,Evening Haze,1800,170.04,187.04,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Evening Haze,ratified,,CB D/Gate Kit 1800h x 3325w EVENING HAZE,,Evening Haze,1800,272.62,299.88,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 2100h x 910w EVENING HAZE,,Evening Haze,2100,164.24,180.66,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 2100h x 1670w EVENING HAZE,,Evening Haze,2100,192.08,211.29,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Evening Haze,ratified,,CB D/Gate Kit 2100h x 3325w EVENING HAZE,,Evening Haze,2100,303.86,334.25,
colorbond,Metroll,Custom,Custom,Colorbond Custom,ratified,,"PREFAB Aluminium - Suit Colorbond Infills (SWING GATE) - Fully Welded-NO Assembly Required - (Overall Opening Sizes - Height, Width, Quantity & Colour Required in Comments Section) 2.5-4 weeks lead time - Prepayment Required at time of order",,,,1.0,1.1,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Shale Grey,ratified,,CB S/Gate Kit 1200h x 910w SHALE GREY,,Shale Grey,1200,141.04,155.14,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Shale Grey,ratified,,CB S/Gate Kit 1200h x 1670w SHALE GREY,,Shale Grey,1200,161.52,177.67,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Shale Grey,ratified,,CB D/Gate Kit 1200h x 3325w SHALE GREY,,Shale Grey,1200,255.46,281.01,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Shale Grey,ratified,,CB S/Gate Kit 1500h x 910w SHALE GREY,,Shale Grey,1500,137.06,150.77,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Shale Grey,ratified,,CB S/Gate Kit 1500h x 1670w SHALE GREY,,Shale Grey,1500,160.56,176.62,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Shale Grey,ratified,,CB D/Gate Kit 1500h x 3325w SHALE GREY,,Shale Grey,1500,253.54,278.89,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Shale Grey,ratified,,CB S/Gate Kit 1800h x 1670w SHALE GREY,,Shale Grey,1800,170.1,187.11,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Shale Grey,ratified,,CB D/Gate Kit 1800h x 3325w SHALE GREY,,Shale Grey,1800,272.62,299.88,
colorbond,Metroll,Sleeper,Sleeper,Colorbond Sleeper 2340 x 200 x 50 Smooth Grey,ratified,A 2.34 CB,Concrete 50mm Thick Plinth/Sleeper Smooth Grey 2340 x 200 x 50,2340 x 200 x 50,Smooth Grey,2340,28.0,30.8,96
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Domain,ratified,FRMDM23,Colorbond® Fence Rail 2365 DOMAIN,2365,Domain,2365,8.44,9.28,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Dune,ratified,FRMDU23,Colorbond® Fence Rail 2365 DUNE,2365,Dune,2365,8.44,9.28,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Evening Haze,ratified,FRMEH23,Colorbond® Fence Rail 2365 EVENING HAZE,2365,Evening Haze,2365,8.44,9.28,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Ironstone,ratified,FRMIS23,Colorbond® Fence Rail 2365 IRONSTONE,2365,Ironstone,2365,8.44,9.28,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Monument,ratified,FRMMO23,Colorbond® Fence Rail 2365 MONUMENT,2365,Monument,2365,8.45,9.29,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Night Sky,ratified,FRMNS23,Colorbond® Fence Rail 2365 NIGHT SKY,2365,Night Sky,2365,8.44,9.28,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Pale Eucalypt,ratified,FRMPE23,Colorbond® Fence Rail 2365 PALE EUCALYPT,2365,Pale Eucalypt,2365,8.47,9.32,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Paperbark,ratified,FRMPB23,Colorbond® Fence Rail 2365 PAPERBARK,2365,Paperbark,2365,8.44,9.28,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Riversand,ratified,FRMRS23,Colorbond® Fence Rail 2365 RIVERSAND,2365,Riversand,2365,8.44,9.28,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Shale Grey,ratified,FRMSG23,Colorbond® Fence Rail 2365 SHALE GREY,2365,Shale Grey,2365,8.47,9.32,96
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Surfmist,ratified,FRMSM23,Colorbond® Fence Rail 2365 SURFMIST,2365,Surfmist,2365,8.44,9.28,144
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Wilderness,ratified,FRMWI23,Colorbond® Fence Rail 2365 WILDERNESS,2365,Wilderness,2365,8.44,9.28,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 2365mm Woodland Grey,ratified,FRMWG23,Colorbond® Fence Rail 2365 WOODLAND GREY,2365,Woodland Grey,2365,8.44,9.28,96
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Cottage Green,ratified,FRMCG31,Colorbond® Fence Rail 3125 COTTAGE GREEN,3125,Cottage Green,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Domain,ratified,FRMDM31,Colorbond® Fence Rail 3125 DOMAIN,3125,Domain,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Dune,ratified,FRMDU31,Colorbond® Fence Rail 3125 DUNE,3125,Dune,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Evening Haze,ratified,FRMEH31,Colorbond® Fence Rail 3125 EVENING HAZE,3125,Evening Haze,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Ironstone,ratified,FRMIS31,Colorbond® Fence Rail 3125 IRONSTONE,3125,Ironstone,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Monument,ratified,FRMMO31,Colorbond® Fence Rail 3125 MONUMENT,3125,Monument,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Night Sky,ratified,FRMNS31,Colorbond® Fence Rail 3125 NIGHT SKY,3125,Night Sky,3125,11.28,12.41,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Pale Eucalypt,ratified,FRMPE31,Colorbond® Fence Rail 3125 PALE EUCALYPT,3125,Pale Eucalypt,3125,11.22,12.34,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Paperbark,ratified,FRMPB31,Colorbond® Fence Rail 3125 PAPERBARK,3125,Paperbark,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Riversand,ratified,FRMRS31,Colorbond® Fence Rail 3125 RIVERSAND,3125,Riversand,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Shale Grey,ratified,FRMSG31,Colorbond® Fence Rail 3125 SHALE GREY,3125,Shale Grey,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Surfmist,ratified,FRMSM31,Colorbond® Fence Rail 3125 SURFMIST,3125,Surfmist,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Wilderness,ratified,FRMWI31,Colorbond® Fence Rail 3125 WILDERNESS,3125,Wilderness,3125,11.15,12.27,48
colorbond,Metroll,Rail,Rail,Colorbond Fence Rail 3125mm Woodland Grey,ratified,FRMWG31,Colorbond® Fence Rail 3125 WOODLAND GREY,3125,Woodland Grey,3125,11.15,12.27,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Basalt,ratified,FNPBA24,Colorbond® CPost 2400 BASALT,2400,Basalt,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Cottage Green,ratified,FNPCG24,Colorbond® CPost 2400 COTTAGE GREEN,2400,Cottage Green,2400,8.56,9.42,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Domain,ratified,FNPDM24,Colorbond® CPost 2400 DOMAIN,2400,Domain,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Dune,ratified,FNPDU24,Colorbond® CPost 2400 DUNE,2400,Dune,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Evening Haze,ratified,FNPEH24,Colorbond® CPost 2400 EVENING HAZE,2400,Evening Haze,2400,8.56,9.42,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Ironstone,ratified,FNPIS24,Colorbond® CPost 2400 IRONSTONE,2400,Ironstone,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Monument,ratified,FNPMO24,Colorbond® CPost 2400 MONUMENT,2400,Monument,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Night Sky,ratified,FNPNS24,Colorbond® CPost 2400 NIGHT SKY,2400,Night Sky,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Pale Eucalypt,ratified,FNPPE24,Colorbond® CPost 2400 PALE EUCALYPT,2400,Pale Eucalypt,2400,8.56,9.42,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Paperbark,ratified,FNPPB24,Colorbond® CPost 2400 PAPERBARK,2400,Paperbark,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Riversand,ratified,FNPRS24,Colorbond® CPost 2400 RIVERSAND,2400,Riversand,2400,8.56,9.42,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Shale Grey,ratified,FNPSG24,Colorbond® CPost 2400 SHALE GREY,2400,Shale Grey,2400,8.56,9.42,96
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Surfmist,ratified,FNPSM24,Colorbond® CPost 2400 SURFMIST,2400,Surfmist,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Wilderness,ratified,FNPWI24,Colorbond® CPost 2400 WILDERNESS,2400,Wilderness,2400,8.56,9.42,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2400mm Woodland Grey,ratified,FNPWG24,Colorbond® CPost 2400 WOODLAND GREY,2400,Woodland Grey,2400,8.56,9.42,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Basalt,ratified,FNPBA27,Colorbond® CPost 2700 BASALT,2700,Basalt,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Cottage Green,ratified,FNPCG27,Colorbond® CPost 2700 COTTAGE GREEN,2700,Cottage Green,2700,9.63,10.59,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Domain,ratified,FNPDM27,Colorbond® CPost 2700 DOMAIN,2700,Domain,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Dune,ratified,FNPDU27,Colorbond® CPost 2700 DUNE,2700,Dune,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Evening Haze,ratified,FNPEH27,Colorbond® CPost 2700 EVENING HAZE,2700,Evening Haze,2700,9.63,10.59,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Ironstone,ratified,FNPIS27,Colorbond® CPost 2700 IRONSTONE,2700,Ironstone,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Monument,ratified,FNPMO27,Colorbond® CPost 2700 MONUMENT,2700,Monument,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Pale Eucalypt,ratified,FNPPE27,Colorbond® CPost 2700 PALE EUCALYPT,2700,Pale Eucalypt,2700,9.93,10.92,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Paperbark,ratified,FNPPB27,Colorbond® CPost 2700 PAPERBARK,2700,Paperbark,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Riversand,ratified,FNPRS27,Colorbond® CPost 2700 RIVERSAND,2700,Riversand,2700,9.63,10.59,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Shale Grey,ratified,FNPSG27,Colorbond® CPost 2700 SHALE GREY,2700,Shale Grey,2700,9.67,10.64,96
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Surfmist,ratified,FNPSM27,Colorbond® CPost 2700 SURFMIST,2700,Surfmist,2700,9.63,10.59,144
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Wilderness,ratified,FNPWI27,Colorbond® CPost 2700 WILDERNESS,2700,Wilderness,2700,10.62,11.68,48
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Woodland Grey,ratified,FNPWG27,Colorbond® CPost 2700 WOODLAND GREY,2700,Woodland Grey,2700,9.63,10.59,96
colorbond,Metroll,C POST,C POST,Colorbond C-Post 2700mm Night Sky,ratified,FNPNS27,Colorbond® CPost 2700 NIGHT SKY,2700,Night Sky,2700,9.63,10.59,144
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Basalt,ratified,FZSBA17,Metzag Colorbond® Infill Sheet 1790 BASALT,1790,Basalt,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Cottage Green,ratified,FZSCG17,Metzag Colorbond® Infill Sheet 1790 COTTAGE GREEN,1790,Cottage Green,1790,16.3,17.93,
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Domain,ratified,FZSDM17,Metzag Colorbond® Infill Sheet 1790 DOMAIN,1790,Domain,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Dune,ratified,FZSDU17,Metzag Colorbond® Infill Sheet 1790 DUNE,1790,Dune,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Evening Haze,ratified,FZSEH17,Metzag Colorbond® Infill Sheet 1790 EVENING HAZE,1790,Evening Haze,1790,16.3,17.93,
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Ironstone,ratified,FZSIS17,Metzag Colorbond® Infill Sheet 1790 IRONSTONE,1790,Ironstone,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Monument,ratified,FZSMO17,Metzag Colorbond® Infill Sheet 1790 MONUMENT,1790,Monument,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Pale Eucalypt,ratified,FZSPE17,Metzag Colorbond® Infill Sheet 1790 PALE EUCALYPT,1790,Pale Eucalypt,1790,16.3,17.93,
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Paperbark,ratified,FZSPB17,Metzag Colorbond® Infill Sheet 1790 PAPERBARK,1790,Paperbark,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Riversand,ratified,FZSRS17,Metzag Colorbond® Infill Sheet 1790 RIVERSAND,1790,Riversand,1790,18.09,19.9,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Shale Grey,ratified,FZSSG17,Metzag Colorbond® Infill Sheet 1790 SHALE GREY,1790,Shale Grey,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Surfmist,ratified,FZSSM17,Metzag Colorbond® Infill Sheet 1790 SURFMIST,1790,Surfmist,1790,16.3,17.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Wilderness,ratified,FZSWI17,Metzag Colorbond® Infill Sheet 1790 WILDERNESS,1790,Wilderness,1790,16.3,17.93,
colorbond,Metroll,Metzag profile,Infill Sheet,1790mm Metzag Colorbond Infill Sheet Woodland Grey,ratified,FZSWG17,Metzag Colorbond® Infill Sheet 1790 WOODLAND GREY,1790,Woodland Grey,1790,16.3,17.93,100
colorbond,Metroll,Gate,Gate,2365 Colorbond Gate Monument,ratified,,1800 Standard Colorbond® Panel 2365 Monument,2365,Monument,2.35,82.92,91.21,
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Basalt,ratified,FZSBA21,Metzag Colorbond® Infill Sheet 2090 BASALT,2090,Basalt,2090,19.4,21.34,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Cottage Green,ratified,FZSCG21,Metzag Colorbond® Infill Sheet 2090 COTTAGE GREEN,2090,Cottage Green,2090,19.4,21.34,
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Domain,ratified,FZSDM21,Metzag Colorbond® Infill Sheet 2090 DOMAIN,2090,Domain,2090,19.4,21.34,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Dune,ratified,FZSDU21,Metzag Colorbond® Infill Sheet 2090 DUNE,2090,Dune,2090,19.4,21.34,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Evening Haze,ratified,FZSEH21,Metzag Colorbond® Infill Sheet 2090 EVENING HAZE,2090,Evening Haze,2090,19.4,21.34,
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Ironstone,ratified,FZSIS21,Metzag Colorbond® Infill Sheet 2090 IRONSTONE,2090,Ironstone,2090,19.4,21.34,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Monument,ratified,FZSMO21,Metzag Colorbond® Infill Sheet 2090 MONUMENT,2090,Monument,2090,19.36,21.3,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Pale Eucalypt,ratified,FZSPE21,Metzag Colorbond® Infill Sheet 2090 PALE EUCALYPT,2090,Pale Eucalypt,2090,19.4,21.34,
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Paperbark,ratified,FZSPB21,Metzag Colorbond® Infill Sheet 2090 PAPERBARK,2090,Paperbark,2090,19.03,20.93,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Riversand,ratified,FZSRS21,Metzag Colorbond® Infill Sheet 2090 RIVERSAND,2090,Riversand,2090,19.4,21.34,
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Shale Grey,ratified,FZSSG21,Metzag Colorbond® Infill Sheet 2090 SHALE GREY,2090,Shale Grey,2090,19.4,21.34,100
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Surfmist,ratified,FZSSM21,Metzag Colorbond® Infill Sheet 2090 SURFMIST,2090,Surfmist,2090,19.4,21.34,50
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Wilderness,ratified,FZSWI21,Metzag Colorbond® Infill Sheet 2090 WILDERNESS,2090,Wilderness,2090,19.4,21.34,
colorbond,Metroll,Metzag profile,Infill Sheet,2090mm Metzag Colorbond Infill Sheet Woodland Grey,ratified,FZSWG21,Metzag Colorbond® Infill Sheet 2090 WOODLAND GREY,2090,Woodland Grey,2090,19.34,21.27,100
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Woodland Grey,ratified,FZSWG15,Metzag Colorbond® Infill Sheet 1490 WOODLAND GREY,1490,Woodland Grey,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Basalt,ratified,FZSBA15,Metzag Colorbond® Infill Sheet 1490 BASALT,1490,Basalt,1490,15.09,16.6,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Cottage Green,ratified,FZSCG15,Metzag Colorbond® Infill Sheet 1490 COTTAGE GREEN,1490,Cottage Green,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Domain,ratified,FZSDM15,Metzag Colorbond® Infill Sheet 1490 DOMAIN,1490,Domain,1490,15.09,16.6,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Dune,ratified,FZSDU15,Metzag Colorbond® Infill Sheet 1490 DUNE,1490,Dune,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Evening Haze,ratified,FZSEH15,Metzag Colorbond® Infill Sheet 1490 EVENING HAZE,1490,Evening Haze,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Ironstone,ratified,FZSIS15,Metzag Colorbond® Infill Sheet 1490 IRONSTONE,1490,Ironstone,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Monument,ratified,FZSMO15,Metzag Colorbond® Infill Sheet 1490 MONUMENT,1490,Monument,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Pale Eucalypt,ratified,FZSPE15,Metzag Colorbond® Infill Sheet 1490 PALE EUCALYPT,1490,Pale Eucalypt,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Paperbark,ratified,FZSPB15,Metzag Colorbond® Infill Sheet 1490 PAPERBARK,1490,Paperbark,1490,11.18,12.3,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Riversand,ratified,FZSRS15,Metzag Colorbond® Infill Sheet 1490 RIVERSAND,1490,Riversand,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Shale Grey,ratified,FZSSG15,Metzag Colorbond® Infill Sheet 1490 SHALE GREY,1490,Shale Grey,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Surfmist,ratified,FZSSM15,Metzag Colorbond® Infill Sheet 1490 SURFMIST,1490,Surfmist,1490,15.03,16.53,
colorbond,Metroll,Metzag profile,Infill Sheet,1490mm Metzag Colorbond Infill Sheet Wilderness,ratified,FZSWI15,Metzag Colorbond® Infill Sheet 1490 WILDERNESS,1490,Wilderness,1490,15.03,16.53,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Basalt,ratified,FMSBA12,Metline Colorbond® Infill Sheet 1190 BASALT,1190,Basalt,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Surfmist,ratified,FMSSM12,Metline Colorbond® Infill Sheet 1190 SURFMIST,1190,Surfmist,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Shale Grey,ratified,FMSSG12,Metline Colorbond® Infill Sheet 1190 SHALE GREY,1190,Shale Grey,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Riversand,ratified,FMSRS12,Metline Colorbond® Infill Sheet 1190 RIVERSAND,1190,Riversand,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Paperbark,ratified,FMSPB12,Metline Colorbond® Infill Sheet 1190 PAPERBARK,1190,Paperbark,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Pale Eucalypt,ratified,FMSPE12,Metline Colorbond® Infill Sheet 1190 PALE EUCALYPT,1190,Pale Eucalypt,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Wilderness,ratified,FMSWI12,Metline Colorbond® Infill Sheet 1190 WILDERNESS,1190,Wilderness,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Monument,ratified,FMSMO12,Metline Colorbond® Infill Sheet 1190 MONUMENT,1190,Monument,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Ironstone,ratified,FMSIS12,Metline Colorbond® Infill Sheet 1190 IRONSTONE,1190,Ironstone,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Evening Haze,ratified,FMSEH12,Metline Colorbond® Infill Sheet 1190 EVENING HAZE,1190,Evening Haze,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Dune,ratified,FMSDU12,Metline Colorbond® Infill Sheet 1190 DUNE,1190,Dune,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Domain,ratified,FMSDM12,Metline Colorbond® Infill Sheet 1190 DOMAIN,1190,Domain,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Deep Ocean,ratified,FMSDO12,Metline Colorbond® Infill Sheet 1190 DEEP OCEAN,1190,Deep Ocean,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Cottage Green,ratified,FMSCG12,Metline Colorbond® Infill Sheet 1190 COTTAGE GREEN,1190,Cottage Green,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Manor Red,ratified,FMSMR12,Metline Colorbond® Infill Sheet 1190 MANOR RED,1190,Manor Red,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1190mm Metline Colorbond Infill Sheet Woodland Grey,ratified,FMSWG12,Metline Colorbond® Infill Sheet 1190 WOODLAND GREY,1190,Woodland Grey,1190,12.01,13.21,
colorbond,Metroll,Metline profile,Infill Sheet,1490mm Metline Colorbond Infill Sheet Basalt,ratified,FMSBA15,Metline Colorbond® Infill Sheet 1490 BASALT,1490,Basalt,1490,15.03,16.53,
colorbond,Metroll,Metline profile,Infill Sheet,1490mm Metline Colorbond Infill Sheet Surfmist,ratified,FMSSM15,Metline Colorbond® Infill Sheet 1490 SURFMIST,1490,Surfmist,1490,15.03,16.53,
colorbond,Metroll,Metline profile,Infill Sheet,1490mm Metline Colorbond Infill Sheet Shale Grey,ratified,FMSSG15,Metline Colorbond® Infill Sheet 1490 SHALE GREY,1490,Shale Grey,1490,15.03,16.53,
colorbond,Metroll,Metline profile,Infill Sheet,1490mm Metline Colorbond Infill Sheet Riversand,ratified,FMSRS15,Metline Colorbond® Infill Sheet 1490 RIVERSAND,1490,Riversand,1490,15.03,16.53,
colorbond,Metroll,Metline profile,Infill Sheet,1490mm Metline Colorbond Infill Sheet Paperbark,ratified,FMSPB15,Metline Colorbond® Infill Sheet 1490 PAPERBARK,1490,Paperbark,1490,15.03,16.53,
